,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1985,125.7125,142.4375,126.73750000000001,122.83,127.7425,126.21249999999999,158.64,142.4775,129.2575,133.3025,115.885,110.7525,115.8,111.1675,102.0525,109.85,115.60749999999999,112.1625,154.24999999999997,129.3625,212.2225,101.74000000000001,117.66,122.24249999999999,123.97500000000001,114.82249999999999,112.8825,118.0475,155.1825,152.0925,127.32999999999998,187.80249999999998,131.3375,110.5,109.9125,116.3875,97.425,124.6375,141.0025,131.0475,111.82749999999999,123.2825,128.3875,116.17,134.905,130.3225,111.41499999999999,94.295,109.72749999999999,95.55250000000001
1986,132.92,139.45749999999998,133.84,127.6525,136.53250000000003,129.175,193.5525,158.4875,135.065,142.8075,121.47999999999999,112.3475,124.125,117.135,103.845,114.02250000000001,121.1675,112.6,177.35,139.33750000000003,261.0,110.2025,122.42500000000001,124.955,130.72499999999997,115.45000000000002,115.9325,123.3,190.6525,183.80249999999998,132.1675,222.1175,139.5,111.70249999999999,115.44999999999999,114.035,98.43499999999999,137.14749999999998,170.82999999999998,137.19250000000002,117.0,131.5675,130.26250000000002,118.62,150.4125,138.5975,114.6425,98.56,113.515,95.5525
1987,138.92,118.195,135.9,128.33499999999998,150.82999999999998,127.33250000000001,243.09249999999997,180.3375,139.0575,150.6025,132.0875,110.915,136.38500000000002,123.28999999999999,104.65249999999999,116.875,127.6875,107.6525,208.7725,156.1775,299.865,122.25999999999999,128.6475,125.19000000000001,138.97,109.7625,116.4875,125.35000000000001,219.43,224.3825,132.9625,259.9325,148.055,111.25999999999999,123.48,105.27499999999999,99.55250000000001,158.2575,223.34250000000003,143.955,119.5025,140.53,121.78000000000002,116.035,171.79,153.0325,118.3025,99.5825,117.2875,86.17999999999999
1988,142.54500000000002,122.29,134.8275,127.21000000000001,174.5825,124.6725,266.4175,199.75750000000002,144.91,156.065,154.8675,110.9675,148.9725,129.365,106.85000000000001,117.93750000000001,134.1875,101.315,232.27,176.16750000000002,315.23,131.70000000000002,133.025,123.435,142.9125,111.61999999999999,117.94,127.5075,227.3225,245.355,130.615,281.0525,154.195,107.8575,131.31,97.56,103.175,179.26250000000002,254.0325,149.60750000000002,117.19749999999999,144.285,115.4425,112.86500000000001,196.45499999999998,171.985,124.7325,100.3475,122.935,80.58
1989,144.525,108.305,133.5425,127.75999999999999,211.32000000000002,125.62750000000001,262.55500000000006,219.26749999999998,150.5325,159.39,190.9275,114.9425,160.29500000000002,134.7925,112.10749999999999,119.43249999999999,140.535,101.405,242.7425,194.365,316.0,140.4375,137.02249999999998,123.61,145.465,113.19500000000001,121.1025,133.89000000000001,227.765,246.53,132.57500000000002,284.6125,158.6925,109.845,137.82,99.565,112.1425,190.6225,264.11,155.4425,120.175,146.2325,115.7675,114.55250000000001,213.175,185.765,141.6825,103.33250000000001,129.64499999999998,82.63250000000001
1990,147.0225,111.5125,133.27249999999998,128.57750000000001,228.7225,128.4575,249.375,226.415,153.4675,160.06,236.1225,122.995,168.58249999999998,139.425,117.80000000000001,119.665,144.5475,102.7125,238.46,202.845,303.15,147.6375,139.4875,125.555,146.6225,118.2625,125.78500000000001,143.9375,213.195,238.04999999999998,133.935,282.54499999999996,161.9775,111.30749999999999,143.965,100.53,128.26,195.38750000000002,260.7525,160.5475,124.6625,146.9275,117.27250000000001,118.3275,215.84500000000003,188.405,172.515,106.285,136.2825,89.0375
1991,151.6775,126.9,136.2725,131.64749999999998,227.87,133.28,237.3425,230.18,156.0375,161.6575,260.865,130.51749999999998,175.03,144.96,123.27499999999999,120.93,149.35999999999999,105.58749999999999,231.555,206.38,286.7625,153.31,143.45749999999998,127.595,148.6175,125.00999999999999,129.96,152.74,196.0675,229.8375,138.005,279.7725,165.39499999999998,114.35499999999999,149.79,103.8075,140.57250000000002,198.9825,251.6325,165.0125,131.28,149.0275,119.9225,125.2,213.485,188.435,183.9725,109.69,142.8275,93.8875
1992,157.775,132.8,140.3725,135.9425,225.035,142.47500000000002,234.745,232.73,160.2725,165.85500000000002,264.4,139.36,181.545,151.0075,128.625,124.30999999999999,154.7825,111.045,230.91,210.6575,283.8225,158.7775,148.2325,132.3525,152.0425,136.9225,135.91500000000002,158.5075,189.935,232.42,145.58249999999998,285.83750000000003,170.21,118.995,156.38,107.34,151.77,204.2125,247.45250000000001,170.33249999999998,139.4525,153.775,124.1325,133.345,215.46999999999997,191.715,191.6375,114.85,150.5075,99.82249999999999
1993,164.5125,135.5075,143.7225,142.115,216.5025,155.405,230.84250000000003,233.81,163.8825,170.45,265.91,151.615,187.8075,156.58499999999998,135.1725,128.10250000000002,160.415,116.625,230.055,212.2375,284.53999999999996,163.155,153.8025,136.495,155.04000000000002,150.75,142.26,162.3125,188.6875,235.64249999999998,154.6775,287.4525,174.7,124.74000000000001,162.435,111.455,163.57,207.69,246.43249999999998,174.855,148.89499999999998,158.945,127.7375,147.8975,217.42249999999999,193.77999999999997,199.25750000000002,120.2275,158.05,107.465
1994,170.46249999999998,141.6625,150.9625,150.2375,205.91250000000002,174.3675,223.4875,230.15250000000003,165.21249999999998,174.22499999999997,264.83000000000004,163.655,196.08,163.5075,144.87,136.4175,170.08249999999998,124.0575,225.37500000000003,210.9075,284.1575,171.41,160.1675,143.77499999999998,162.105,166.7175,152.815,165.0675,186.30249999999998,234.6975,170.5525,281.3125,182.36749999999998,132.4225,170.16750000000002,116.2075,180.83500000000004,207.6875,238.9625,179.3025,159.7325,166.625,130.4875,172.4975,217.88000000000002,195.1,208.815,126.43,172.0375,118.52250000000001
